defaultLabel;languageCode;translatedText
# Seed-Uebersetzungen von plaintext-root (Zustandsbericht 29.08.2026, Welle 2, Paket i18n).
#
# Format: defaultLabel;languageCode;translatedText — Trennzeichen ist das Semikolon, Zeilen mit
# # sind Kommentare. defaultLabel ist der deutsche Text, wie er in den XHTML als i18n.t('…') steht
# (der Schluessel IST der deutsche Text; "de" wird nie uebersetzt und hat hier keine Zeilen).
#
# Import: I18nService.importSeedTranslations() liest beim Start jede classpath*:i18n/*.csv und legt
# NUR fehlende Eintraege bzw. X_-Platzhalter an. Ein in der Datenbank gepflegter Text (Root ->
# Uebersetzungen) wird durch ein Deploy NIE ueberschrieben — diese Datei ist eine Vorbelegung.
#
# Herkunft: Am 29.08.2026 gab es familienweit keine gepflegte Uebersetzung (guild PROD: 26 fr-
# Platzhalter, schuetu/app/iot: leer). Alle en-Texte hier sind abgeleitet (Uebersetzung aus dem
# deutschen Vorgabetext), nicht aus einem Export. Vorlage zum Pflegen: Export unter
# /api/i18n/export?lang=en, pruefen, hier einchecken.
#
# Zielsprachen: en, fr, it — dieselben drei, die I18nService.getAvailableLanguages() neben de
# ausliefert (Topbar-Sprachwechsel). Je Schluessel stehen die drei Zeilen direkt untereinander;
# fr und it sind fuer eine Schweizer Vereins- und Geschaeftsanwendung uebersetzt, nicht woertlich.
# „Mandant/Mandat" ist der Tenant-Begriff der Anwendung und heisst fr „mandant", it „mandante"
# (nicht „mandat" im Sinne von Auftrag). Anfuehrungszeichen im Franzoesischen und Italienischen
# als « », im Franzoesischen kein Leerzeichen vor ? ! : (Schweizer Web-Praxis).
#
# Vollstaendigkeit sichert PlaintextI18nSeedTest (plaintext-root-archtests): jedes i18n.t('…') im
# Reactor braucht hier eine en-Zeile; Zeilen ohne Verwendung werden als Warnung gemeldet.
# Dass zu jedem Schluessel alle drei Zielsprachen da sind, prueft I18nSeedSprachabdeckungTest
# (plaintext-admin-i18n).
#
# --- sessioninsights.xhtml
Benutzer-Session;en;User Session
Benutzer-Session;fr;Session utilisateur
Benutzer-Session;it;Sessione utente
Bitte wählen;en;Please select
Bitte wählen;fr;Veuillez choisir
Bitte wählen;it;Selezionare
Aktualisieren;en;Refresh
Aktualisieren;fr;Actualiser
Aktualisieren;it;Aggiorna
Session Übersicht;en;Session Overview
Session Übersicht;fr;Aperçu des sessions
Session Übersicht;it;Panoramica delle sessioni
Anzahl Objekte;en;Number of Objects
Anzahl Objekte;fr;Nombre d'objets
Anzahl Objekte;it;Numero di oggetti
Gesamtgrösse;en;Total Size
Gesamtgrösse;fr;Taille totale
Gesamtgrösse;it;Dimensione totale
Zeige;en;Showing
Zeige;fr;Affichage
Zeige;it;Visualizzati
bis;en;to
bis;fr;à
bis;it;a
von;en;of
von;fr;sur
von;it;di
Objekten;en;objects
Objekten;fr;objets
Objekten;it;oggetti
Keine Session-Objekte gefunden;en;No session objects found
Keine Session-Objekte gefunden;fr;Aucun objet de session trouvé
Keine Session-Objekte gefunden;it;Nessun oggetto di sessione trovato
Grösse;en;Size
Grösse;fr;Taille
Grösse;it;Dimensione
#
# --- sessions.xhtml
Ja;en;Yes
Ja;fr;Oui
Ja;it;Sì
Nein;en;No
Nein;fr;Non
Nein;it;No
Aktive Sitzungen;en;Active Sessions
Aktive Sitzungen;fr;Sessions actives
Aktive Sitzungen;it;Sessioni attive
Details anzeigen;en;Show Details
Details anzeigen;fr;Afficher les détails
Details anzeigen;it;Mostra i dettagli
Abmelden;en;Log out
Abmelden;fr;Déconnecter
Abmelden;it;Disconnetti
Bestätigung;en;Confirmation
Bestätigung;fr;Confirmation
Bestätigung;it;Conferma
Benutzer wirklich abmelden?;en;Really log out this user?
Benutzer wirklich abmelden?;fr;Voulez-vous vraiment déconnecter cet utilisateur?
Benutzer wirklich abmelden?;it;Disconnettere davvero questo utente?
Keine aktiven Sitzungen;en;No active sessions
Keine aktiven Sitzungen;fr;Aucune session active
Keine aktiven Sitzungen;it;Nessuna sessione attiva
Benutzername;en;Username
Benutzername;fr;Nom d'utilisateur
Benutzername;it;Nome utente
Aktiv;en;Active
Aktiv;fr;Actif
Aktiv;it;Attivo
Anmeldung;en;Login
Anmeldung;fr;Connexion
Anmeldung;it;Accesso
Letzte Aktivität;en;Last Activity
Letzte Aktivität;fr;Dernière activité
Letzte Aktivität;it;Ultima attività
Sitzung Details;en;Session Details
Sitzung Details;fr;Détails de la session
Sitzung Details;it;Dettagli della sessione
Schließen;en;Close
Schließen;fr;Fermer
Schließen;it;Chiudi
#
# --- mandatemenudetail.xhtml
Menüsteuerung;en;Menu Control
Menüsteuerung;fr;Gestion des menus
Menüsteuerung;it;Gestione dei menu
Mandat anpassen;en;Edit Tenant
Mandat anpassen;fr;Modifier le mandant
Mandat anpassen;it;Modifica il mandante
Anleitung;en;Guide
Anleitung;fr;Guide
Anleitung;it;Guida
Anleitung zur Menüsteuerung öffnen;en;Open the menu control guide
Anleitung zur Menüsteuerung öffnen;fr;Ouvrir le guide de la gestion des menus
Anleitung zur Menüsteuerung öffnen;it;Apri la guida alla gestione dei menu
Mandat-spezifische Menükonfiguration;en;Tenant-specific menu configuration
Mandat-spezifische Menükonfiguration;fr;Configuration des menus propre au mandant
Mandat-spezifische Menükonfiguration;it;Configurazione dei menu specifica per mandante
Mandatsname;en;Tenant Name
Mandatsname;fr;Nom du mandant
Mandatsname;it;Nome del mandante
Menüpunkte einblenden;en;Show menu items
Menüpunkte einblenden;fr;Afficher des entrées de menu
Menüpunkte einblenden;it;Mostra voci di menu
Menüpunkte ausblenden;en;Hide menu items
Menüpunkte ausblenden;fr;Masquer des entrées de menu
Menüpunkte ausblenden;it;Nascondi voci di menu
Alle an;en;All on
Alle an;fr;Tout activer
Alle an;it;Attiva tutto
Alle aus;en;All off
Alle aus;fr;Tout désactiver
Alle aus;it;Disattiva tutto
Invertieren;en;Invert
Invertieren;fr;Inverser
Invertieren;it;Inverti
Speichern;en;Save
Speichern;fr;Enregistrer
Speichern;it;Salva
Löschen;en;Delete
Löschen;fr;Supprimer
Löschen;it;Elimina
#
# --- menudiagnose.xhtml
Menü-Diagnose;en;Menu Diagnostics
Menü-Diagnose;fr;Diagnostic des menus
Menü-Diagnose;it;Diagnostica dei menu
Sicht von;en;View as
Sicht von;fr;Vue de
Sicht von;it;Vista di
Mandant;en;Tenant
Mandant;fr;Mandant
Mandant;it;Mandante
Sichtbar;en;Visible
Sichtbar;fr;Visible
Sichtbar;it;Visibile
Nur ausgeblendete Menüpunkte;en;Hidden menu items only
Nur ausgeblendete Menüpunkte;fr;Uniquement les entrées de menu masquées
Nur ausgeblendete Menüpunkte;it;Solo le voci di menu nascoste
Neu auswerten;en;Re-evaluate
Neu auswerten;fr;Réévaluer
Neu auswerten;it;Rivaluta
Keine Menüpunkte gefunden.;en;No menu items found.
Keine Menüpunkte gefunden.;fr;Aucune entrée de menu trouvée.
Keine Menüpunkte gefunden.;it;Nessuna voce di menu trovata.
Menüpunkt;en;Menu Item
Menüpunkt;fr;Entrée de menu
Menüpunkt;it;Voce di menu
Modul-Keys;en;Module Keys
Modul-Keys;fr;Clés de module
Modul-Keys;it;Chiavi del modulo
Rolle;en;Role
Rolle;fr;Rôle
Rolle;it;Ruolo
Modul-Rolle;en;Module Role
Modul-Rolle;fr;Rôle du module
Modul-Rolle;it;Ruolo del modulo
Modul aktiv;en;Module active
Modul aktiv;fr;Module actif
Modul aktiv;it;Modulo attivo
Zur Menüsteuerung;en;Go to Menu Control
Zur Menüsteuerung;fr;Vers la gestion des menus
Zur Menüsteuerung;it;Vai alla gestione dei menu
#
# --- mandatemenu.xhtml
Übersicht;en;Overview
Übersicht;fr;Aperçu
Übersicht;it;Panoramica
Neues Mandat;en;New Tenant
Neues Mandat;fr;Nouveau mandant
Neues Mandat;it;Nuovo mandante
Keine Konfigurationen vorhanden.;en;No configurations available.
Keine Konfigurationen vorhanden.;fr;Aucune configuration disponible.
Keine Konfigurationen vorhanden.;it;Nessuna configurazione disponibile.
Modus;en;Mode
Modus;fr;Mode
Modus;it;Modalità
Anzahl Menüs;en;Number of Menus
Anzahl Menüs;fr;Nombre de menus
Anzahl Menüs;it;Numero di menu
Konfigurierte Menüs;en;Configured Menus
Konfigurierte Menüs;fr;Menus configurés
Konfigurierte Menüs;it;Menu configurati
Aktionen;en;Actions
Aktionen;fr;Actions
Aktionen;it;Azioni
Bearbeiten;en;Edit
Bearbeiten;fr;Modifier
Bearbeiten;it;Modifica
#
# --- oidcconfig.xhtml
OIDC / OpenID Connect Konfiguration;en;OIDC / OpenID Connect Configuration
OIDC / OpenID Connect Konfiguration;fr;Configuration OIDC / OpenID Connect
OIDC / OpenID Connect Konfiguration;it;Configurazione OIDC / OpenID Connect
Neue Konfiguration;en;New Configuration
Neue Konfiguration;fr;Nouvelle configuration
Neue Konfiguration;it;Nuova configurazione
Keine OIDC-Konfiguration vorhanden;en;No OIDC configuration available
Keine OIDC-Konfiguration vorhanden;fr;Aucune configuration OIDC disponible
Keine OIDC-Konfiguration vorhanden;it;Nessuna configurazione OIDC disponibile
Name;en;Name
Name;fr;Nom
Name;it;Nome
Letzte Änderung;en;Last Modified
Letzte Änderung;fr;Dernière modification
Letzte Änderung;it;Ultima modifica
OIDC Konfiguration;en;OIDC Configuration
OIDC Konfiguration;fr;Configuration OIDC
